,ID_REF,IDENTIFIER
904,YDR036C,EHD3
905,YDR037W,KRS1
906,YDR038C,ENA5
907,YDR039C,ENA2
908,YDR040C,ENA1
909,YDR041W,RSM10
910,YDR042C,YDR042C
911,YDR043C,NRG1
912,YDR044W,HEM13
913,YDR045C,RPC11
914,YDR046C,BAP3
915,YDR047W,HEM12
916,YDR049W,VMS1
917,YDR050C,TPI1
918,YDR051C,DET1
919,YDR052C,DBF4
920,YDR054C,CDC34
921,YDR055W,PST1
922,YDR056C,EMC10
923,YDR057W,YOS9
924,YDR058C,TGL2
925,YDR059C,UBC5
926,YDR060W,MAK21
927,YDR061W,YDR061W
928,YDR062W,LCB2
929,YDR063W,AIM7
930,YDR064W,RPS13
931,YDR065W,RRG1
932,YDR066C,RTR2
933,YDR067C,OCA6
934,YDR068W,DOS2
935,YDR069C,DOA4
936,YDR070C,FMP16
937,YDR071C,PAA1
938,YDR072C,IPT1
939,YDR073W,SNF11
940,YDR074W,TPS2
941,YDR075W,PPH3
942,YDR076W,RAD55
943,YDR077W,SED1
944,YDR078C,SHU2
945,YDR079C-A,TFB5
946,YDR079W,PET100
947,YDR080W,VPS41
948,YDR081C,PDC2
949,YDR082W,STN1
950,YDR083W,RRP8
951,YDR084C,TVP23
952,YDR085C,AFR1
953,YDR086C,SSS1
954,YDR087C,RRP1
955,YDR088C,SLU7
956,YDR089W,YDR089W
957,YDR090C,YDR090C
958,YDR091C,RLI1
959,YDR092W,UBC13
960,YDR093W,DNF2
961,YDR096W,GIS1
962,YDR097C,MSH6
963,YDR098C,GRX3
964,YDR099W,BMH2
965,YDR100W,TVP15
966,YDR101C,ARX1
967,YDR103W,STE5
968,YDR104C,SPO71
969,YDR105C,TMS1
970,YDR106W,ARP10
971,YDR107C,TMN2
972,YDR108W,TRS85
973,YDR109C,YDR109C
974,YDR110W,FOB1
975,YDR111C,ALT2
976,YDR113C,PDS1
977,YDR115W,MRX14
978,YDR116C,MRPL1
979,YDR117C,TMA64
980,YDR118W,APC4
981,YDR119W,VBA4
982,YDR120C,TRM1
983,YDR121W,DPB4
984,YDR122W,KIN1
985,YDR123C,INO2
986,YDR124W,YDR124W
987,YDR125C,ECM18
988,YDR126W,SWF1
989,YDR127W,ARO1
990,YDR128W,MTC5
991,YDR129C,SAC6
992,YDR130C,FIN1
993,YDR131C,YDR131C
994,YDR132C,YDR132C
995,YDR135C,YCF1
996,YDR137W,RGP1
997,YDR138W,HPR1
998,YDR139C,RUB1
999,YDR140W,MTQ2
1000,YDR141C,DOP1
1001,YDR142C,PEX7
1002,YDR143C,SAN1
1003,YDR144C,MKC7
1004,YDR145W,TAF12
1005,YDR146C,SWI5
1006,YDR147W,EKI1
1007,YDR148C,KGD2
1008,YDR150W,NUM1
1009,YDR151C,CTH1
1010,YDR152W,GIR2
1011,YDR153C,ENT5
1012,YDR155C,CPR1
1013,YDR156W,RPA14
1014,YDR158W,HOM2
1015,YDR159W,SAC3
1016,YDR160W,SSY1
1017,YDR161W,ACL4
1018,YDR162C,NBP2
1019,YDR163W,CWC15
1020,YDR164C,SEC1
1021,YDR165W,TRM82
1022,YDR166C,SEC5
1023,YDR167W,TAF10
1024,YDR168W,CDC37
1025,YDR169C,STB3
1026,YDR170C,SEC7
1027,YDR171W,HSP42
1028,YDR172W,SUP35
1029,YDR173C,ARG82
1030,YDR174W,HMO1
1031,YDR175C,RSM24
1032,YDR176W,NGG1
1033,YDR177W,UBC1
1034,YDR178W,SDH4
1035,YDR179C,CSN9
1036,YDR179W-A,NVJ3
1037,YDR180W,SCC2
1038,YDR181C,SAS4
1039,YDR182W,CDC1
1040,YDR183W,PLP1
1041,YDR184C,ATC1
1042,YDR185C,UPS3
1043,YDR186C,YDR186C
1044,YDR188W,CCT6
1045,YDR189W,SLY1
1046,YDR190C,RVB1
1047,YDR191W,HST4
1048,YDR192C,NUP42
1049,YDR194C,MSS116
1050,YDR195W,REF2
1051,YDR196C,CAB5
1052,YDR197W,CBS2
1053,YDR198C,RKM2
1054,YDR200C,VPS64
1055,YDR201W,SPC19
1056,YDR202C,RAV2
1057,YDR204W,COQ4
1058,YDR205W,MSC2
